order_id,customer_id,shipping_city,amount,payment_method
1,4072,Salt,6676.6,Cash
2,17010,Amman,239.36,Debit Card
3,8925,Madaba,1077.91,Debit Card
4,19270,Jerash,5814.57,Cash
5,10255,Mafraq,1079.77,PayPal
6,16833,Karak,3954.59,Credit Card
7,4751,Madaba,8467.87,Cash
8,4421,Mafraq,3136.5,Debit Card
9,12065,Irbid,8673.18,Cash
10,17302,Madaba,1785.69,Debit Card
11,623,Mafraq,8530.8,Credit Card
12,1441,Aqaba,5697.92,Debit Card
13,9164,Aqaba,5520.56,Cash
14,18077,Ajloun,1957.15,Credit Card
15,15278,Amman,7197.31,Cash
16,12707,Salt,8275.5,PayPal
17,19421,Aqaba,3820.95,Credit Card
18,6927,Madaba,6659.53,PayPal
19,12135,Ajloun,2192.51,Cash
20,13790,Jerash,2264.48,Credit Card
21,19158,Salt,9351.63,PayPal
22,17257,Mafraq,8081.5,PayPal
23,13486,Salt,2911.89,PayPal
24,3283,Irbid,1762.28,Debit Card
25,5985,Salt,1220.16,PayPal
26,17334,Madaba,5446.45,PayPal
27,1028,Mafraq,3925.56,Cash
28,4192,Salt,1583.14,Debit Card
29,1598,Amman,8924.38,Cash
30,15319,Madaba,6545.77,PayPal
31,14963,Karak,6378.41,Debit Card
32,4097,Salt,8304.25,Cash
33,16768,Irbid,1182.77,PayPal
34,16697,Jerash,7122.96,Cash
35,19816,Mafraq,7868.28,Cash
36,18167,Karak,5941.95,Credit Card
37,4910,Ajloun,4753.85,PayPal
38,5267,Zarqa,9685.13,PayPal
39,12768,Irbid,6058.49,Debit Card
40,6110,Salt,94.93,Cash
41,6617,Irbid,7216.88,Cash
42,18852,Irbid,2153.9,Cash
43,5648,Ajloun,7855.65,Cash
44,9777,Madaba,3245.19,Credit Card
45,16702,Amman,4494.08,PayPal
46,153,Salt,7881.31,Cash
47,101,Mafraq,3619.41,Credit Card
48,17500,Irbid,6957.27,Cash
49,19170,Irbid,7715.06,Cash
50,13419,Salt,9113.44,PayPal
51,3617,Karak,3759.66,Credit Card
52,8812,Amman,7087.59,Cash
53,15967,Zarqa,1113.51,Cash
54,707,Irbid,8653.23,Credit Card
55,15672,Ajloun,1772.84,Cash
56,15378,Karak,4105.58,PayPal
57,12960,Karak,1516.6,PayPal
58,15668,Ajloun,4431.09,Credit Card
59,19661,Jerash,4704.69,Debit Card
60,11146,Ajloun,8949.33,Cash
61,17189,Mafraq,5435.75,Cash
62,16747,Aqaba,7728.33,Credit Card
63,6669,Karak,6735.05,PayPal
64,9163,Zarqa,3490.11,Credit Card
65,4754,Amman,617.47,Cash
66,12393,Salt,1590.07,PayPal
67,7936,Aqaba,9045.08,Cash
68,15951,Mafraq,1878.52,Debit Card
69,4559,Madaba,1935.68,Credit Card
70,12134,Mafraq,5620.41,PayPal
71,18200,Salt,6683.66,Debit Card
72,19222,Irbid,2382.84,Cash
73,3492,Ajloun,2578.51,Credit Card
74,9524,Zarqa,336.99,Credit Card
75,17608,Ajloun,5317.59,Cash
76,4034,Aqaba,4565.58,Credit Card
77,13172,Jerash,7012.37,Debit Card
78,11122,Ajloun,3903.11,PayPal
79,1046,Mafraq,6297.5,PayPal
80,13010,Zarqa,6519.33,PayPal
81,2762,Amman,8662.41,Cash
82,15457,Salt,2915.08,Debit Card
83,16744,Madaba,2561.71,Cash
84,1270,Ajloun,6073.01,Debit Card
85,11913,Karak,1064.72,PayPal
86,19247,Madaba,5750.82,Credit Card
87,6811,Jerash,537.6,PayPal
88,17869,Ajloun,7344.47,Cash
89,836,Zarqa,925.51,PayPal
90,5671,Karak,2637.34,Credit Card
91,15150,Amman,3399.23,PayPal
92,16598,Ajloun,3992.68,Credit Card
93,19463,Ajloun,4550.77,Debit Card
94,4942,Irbid,1731.9,Debit Card
95,1443,Salt,2353.05,Credit Card
96,16908,Madaba,215.19,Credit Card
97,2165,Madaba,9417.97,PayPal
98,6971,Amman,9918.41,Debit Card
99,13686,Amman,3233.36,Debit Card
100,5426,Jerash,653.17,Credit Card
101,10385,Salt,6568.62,Cash
102,13823,Ajloun,386.97,PayPal
103,19662,Madaba,5306.01,Credit Card
104,9541,Ajloun,5574.28,PayPal
105,9504,Karak,9996.39,Cash
106,13111,Madaba,694.48,Cash
107,2954,Ajloun,4931.99,PayPal
108,18137,Mafraq,1206.74,PayPal
109,1291,Zarqa,3359.5,Debit Card
110,19388,Jerash,3830.65,PayPal
111,2220,Zarqa,1755.29,Debit Card
112,15312,Karak,6190.33,Debit Card
113,4252,Jerash,1665.64,Cash
114,2940,Ajloun,2293.85,Debit Card
115,4743,Jerash,5992.17,Cash
116,13513,Aqaba,3355.6,Cash
117,9334,Jerash,5279.8,Debit Card
118,3184,Karak,8959.35,PayPal
119,15950,Amman,8267.18,Credit Card
120,938,Ajloun,9977.65,Cash
121,174,Karak,9433.89,PayPal
122,19829,Aqaba,6806.33,PayPal
123,13388,Irbid,6405.61,Debit Card
124,8896,Mafraq,3222.83,PayPal
125,6562,Karak,4819.53,PayPal
126,12187,Ajloun,2945.46,PayPal
127,701,Amman,3828.33,PayPal
128,16577,Madaba,4431.37,PayPal
129,19746,Mafraq,6686.96,Cash
130,13117,Zarqa,6472.99,Cash
131,10450,Karak,6051.09,Debit Card
132,1980,Zarqa,1995.3,Cash
133,8679,Karak,6725.48,Debit Card
134,8498,Ajloun,6374.8,Debit Card
135,10924,Salt,2387.55,Debit Card
136,3929,Salt,6484.1,PayPal
137,15005,Amman,6003.94,Credit Card
138,9530,Amman,7225.32,Credit Card
139,8986,Karak,3409.7,PayPal
140,11200,Jerash,2353.47,Cash
141,18916,Jerash,7245.72,Debit Card
142,5220,Jerash,4583.04,Credit Card
143,9095,Madaba,3091.07,Debit Card
144,12800,Salt,7322.58,Debit Card
145,15604,Karak,5275.66,Cash
146,9462,Aqaba,1552.17,Debit Card
147,10595,Aqaba,1940.57,Debit Card
148,16754,Zarqa,557.65,Cash
149,17447,Jerash,6229.62,Cash
150,12472,Karak,9410.7,Debit Card
151,18725,Karak,5670.93,Cash
152,14286,Jerash,9226.31,Cash
153,18768,Zarqa,7465.39,Debit Card
154,4556,Madaba,8409.23,Debit Card
155,18687,Amman,2948.16,Debit Card
156,13878,Madaba,2726.05,Credit Card
157,10975,Ajloun,2279.43,Credit Card
158,12741,Aqaba,4376.58,Credit Card
159,5237,Amman,5264.22,Debit Card
160,13102,Zarqa,8791.31,PayPal
161,18421,Salt,3297.67,PayPal
162,18983,Aqaba,962.03,Credit Card
163,4947,Karak,70.69,PayPal
164,17988,Aqaba,4922.81,Debit Card
165,948,Madaba,9342.74,Debit Card
166,7640,Ajloun,3999.17,PayPal
167,12513,Jerash,9181.32,PayPal
168,19706,Amman,2686.82,PayPal
169,11803,Madaba,6279.5,Debit Card
170,379,Amman,5388.84,PayPal
171,3492,Jerash,9755.69,Debit Card
172,16136,Karak,7914.69,Debit Card
173,9537,Salt,6879.52,Cash
174,13044,Irbid,5594.28,Credit Card
175,10498,Aqaba,7227.59,Debit Card
176,6163,Aqaba,8269.32,Debit Card
177,16452,Madaba,3520.37,Cash
178,18275,Madaba,6706.54,Credit Card
179,12470,Aqaba,4095.64,Credit Card
180,4537,Madaba,6539.86,Cash
181,611,Irbid,9714.19,Debit Card
182,9583,Amman,9772.28,Credit Card
183,8070,Karak,2285.56,Credit Card
184,514,Jerash,598.13,PayPal
185,19508,Ajloun,1772.36,PayPal
186,14688,Amman,8694.7,Cash
187,12119,Amman,2618.0,PayPal
188,15586,Aqaba,859.17,Cash
189,5126,Mafraq,6416.47,PayPal
190,9191,Jerash,950.2,PayPal
191,12888,Amman,8563.09,Cash
192,3278,Salt,4660.28,PayPal
193,4438,Aqaba,7231.82,Debit Card
194,17011,Irbid,7694.64,Credit Card
195,11737,Salt,4997.61,PayPal
196,11512,Madaba,654.93,Credit Card
197,16920,Mafraq,9037.76,PayPal
198,8865,Madaba,766.96,Cash
199,6680,Salt,9275.8,Cash
200,6586,Jerash,7466.19,Cash
